"","id","title","description","short_title","short_desc","vid_created"
"11","Ifi9M7DRazI","American Health Care Act: Last Week Tonight with John Oliver (HBO)","The Republican health care bill could leave many Americans without affordable coverage. Last Week Tonight's catheter cowboy returns to morning cable news to explain that to Donald Trump.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","American Health Care Act","The Republican health care bill could leave many Americans without affordable coverage. Last Week Tonight's catheter cowboy returns to morning cable news to explain that to Donald Trump",2017-03-13
"12","bLY45o6rHm0","Dalai Lama: Last Week Tonight with John Oliver (HBO)","Tibetan Buddhists have suffered deep persecution by the Chinese government. John Oliver sits down with the Dalai Lama to discuss China, the conditions in Tibet, and horse milk.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Dalai Lama","Tibetan Buddhists have suffered deep persecution by the Chinese government. John Oliver sits down with the Dalai Lama to discuss China, the conditions in Tibet, and horse milk",2017-03-06
"13","YEGpriv2TAc","Obamacare: Last Week Tonight with John Oliver (HBO)","Congressional Republicans could soon vote to repeal Obamacare.
John Oliver explores why their replacement plans are similar to a thong.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Obamacare","Congressional Republicans could soon vote to repeal Obamacare",2017-02-27
"14","0utzB6oDan0","Putin: Last Week Tonight with John Oliver (HBO)","Vladimir Putin is known as a ruthless leader and master manipulator. John Oliver enlists a group of singing dancers to explain that to Donald Trump.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Putin","Vladimir Putin is known as a ruthless leader and master manipulator. John Oliver enlists a group of singing dancers to explain that to Donald Trump",2017-02-20
"15","xecEV4dSAXE","Trump vs. Truth: Last Week Tonight with John Oliver (HBO)","Donald Trump spreads a lot of false information thanks to his daily consumption of morning cable news. If only we could sneak some facts into the president’s media diet.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Trump vs. Truth","Donald Trump spreads a lot of false information thanks to his daily consumption of morning cable news. If only we could sneak some facts into the president’s media diet",2017-02-13
"16","ekoETowzmAo","Last Week Tonight Season 4 Promo","Last Week Tonight, literally one of HBO’s Sunday night shows, returns 2/12 at 11PM.

Subscribe to the HBO YouTube: http://itsh.bo/10qIqsj
Connect with HBO Online
Find HBO on Facebook: http://Facebook.com/HBO
Follow @HBO on Twitter: http://Twitter.com/HBO
Find HBO on Youtube: http://Youtube.com/HBO
Find HBO Official Site: http://HBO.com
Find HBO Connect: http://Connect.hbo.com
Find HBO GO: http://HBOGO.com
Find HBO on Instagram: http://Instagram.com/hbo
Find HBO on Foursquare: http://Foursquare.com/hbo

Check out other HBO Channels
HBO: http://www.youtube.com/hbo
Game of Thrones: http://www.youtube.com/GameofThrones 
True Blood: http://www.youtube.com/trueblood 
HBO Sports: http://www.youtube.com/HBOsports 
Real Time with Bill Maher: http://www.youtube.com/RealTime 
HBO Documentary Films: http://www.youtube.com/HBODocs 
Cinemax: http://www.youtube.com/Cinemax 
HBO Latino: http://www.youtube.com/HBOLatino","Last Week Tonight Season 4 Prom","Last Week Tonight, literally one of HBO’s Sunday night shows, returns 2/12 at 11PM",2017-01-18
"17","cBUeipXFisQ","Trump University: Last Week Tonight with John Oliver (HBO)","Trump University recently settled its lawsuits for $25 million; here's some background.","Trump University","Trump University recently settled its lawsuits for $25 million; here's some background",2016-11-29
"18","-rSDUsMwakI","President-Elect Trump: Last Week Tonight with John Oliver (HBO)","Donald Trump will be the next president of the United States. How did we get to this point? And what do we do now?

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","President-Elect Trump","Donald Trump will be the next president of the United States. How did we get to this point? And what do we do now",2016-11-14
"19","Cy-O4myeUzg","Mercadeo Multinivel: Last Week Tonight With John Oliver (HBO)","Las compañías de mercadeo multinivel aclaman ser negocios legítimos, pero algunas parecen ser terriblemente... piramidales. John Oliver y Jaime Camil nos demuestran como funcionan. 

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Mercadeo Multinivel","Las compañías de mercadeo multinivel aclaman ser negocios legítimos, pero algunas parecen ser terriblemente... piramidales. John Oliver y Jaime Camil nos demuestran como funcionan.",2016-11-07
"20","s6MwGeOm8iI","Multilevel Marketing: Last Week Tonight with John Oliver (HBO)","Multilevel marketing companies claim to be legitimate businesses, but some seem awfully…pyramid shaped. John Oliver and Jaime Camil demonstrate how they work. 

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Multilevel Marketing","Multilevel marketing companies claim to be legitimate businesses, but some seem awfully…pyramid shaped. John Oliver and Jaime Camil demonstrate how they work.",2016-11-07
"21","e0bMfS-_pjM","Voting On Tuesday - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO)","Tuesday voting is highly inconvenient, so why do we still do it?

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Voting On Tuesday - How Is This Still A Thing?","Tuesday voting is highly inconvenient, so why do we still do it",2016-11-05
"22","o8yiYCHMAlM","School Segregation: Last Week Tonight with John Oliver (HBO)","Public schools are increasingly divided by race and class. John Oliver discusses the troubling trend towards school resegregation.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","School Segregation","Public schools are increasingly divided by race and class. John Oliver discusses the troubling trend towards school resegregation",2016-10-31
"23","5pdPrQFjo2o","Opioids: Last Week Tonight with John Oliver (HBO)","John Oliver discusses the extent and root of the nation’s epidemic of opioid addiction.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Opioids","John Oliver discusses the extent and root of the nation’s epidemic of opioid addiction",2016-10-24
"24","k3O01EfM5fU","Third Parties: Last Week Tonight with John Oliver (HBO)","Third party candidates want to be serious contenders, so John Oliver considers them seriously as potential presidents.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Third Parties","Third party candidates want to be serious contenders, so John Oliver considers them seriously as potential presidents",2016-10-17
"25","KEbFtMgGhPY","Guantánamo: Last Week Tonight with John Oliver (HBO)","John Oliver examines the legal and moral issues surrounding the military prison at Guantánamo Bay.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Guantánamo","John Oliver examines the legal and moral issues surrounding the military prison at Guantánamo Bay",2016-10-10
"26","zaD84DTGULo","Police Accountability: Last Week Tonight with John Oliver (HBO)","John Oliver discusses the systems in place to investigate and hold police officers accountable for misconduct.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Police Accountability","John Oliver discusses the systems in place to investigate and hold police officers accountable for misconduct",2016-10-03
"27","h1Lfd1aB9YI","Scandals: Last Week Tonight with John Oliver (HBO)","The 2016 presidential race is teeming with raisins. Sorry…scandals.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Scandals","The 2016 presidential race is teeming with raisins. Sorry…scandals",2016-09-26
"28","_kZsOISarzg","Refugee Crisis: Last Week Tonight with John Oliver (HBO)","Last Week Tonight covers an inappropriate analogy for the refugee crisis.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Refugee Crisis","Last Week Tonight covers an inappropriate analogy for the refugee crisis",2016-09-20
"29","8l2Y6Z-maAU","Birds: Last Week Tonight with John Oliver (Web Exclusive)","Birds will soon begin migrating to warmer climates. John Oliver says good riddance.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Birds","Birds will soon begin migrating to warmer climates. John Oliver says good riddance",2016-09-12
"30","l_htSPGAY7I","Charter Schools: Last Week Tonight with John Oliver (HBO)","Charter schools are privately run, publicly funded, and irregularly regulated. John Oliver explores why they aren’t at all like pizzerias.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Charter Schools","Charter schools are privately run, publicly funded, and irregularly regulated. John Oliver explores why they aren’t at all like pizzerias",2016-08-22
"31","XzCgVltuzEk","Johnny Strong: Last Week Tonight with John Oliver (Web Exclusive)","John Oliver pitches a summer blockbuster comic book adaptation about the perilous adventures of superhero Johnny Strong. 

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Johnny Strong","John Oliver pitches a summer blockbuster comic book adaptation about the perilous adventures of superhero Johnny Strong.",2016-08-29
"32","apumpVGBpP8","Labor Day: Last Week Tonight with John Oliver (Web Exclusive)","Everyone knows the rule against wearing white after Labor Day. John Oliver suggests some other things we should all stop doing.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Labor Day","Everyone knows the rule against wearing white after Labor Day. John Oliver suggests some other things we should all stop doing",2016-09-05
"33","4U2eDJnwz_s","Auto Lending: Last Week Tonight with John Oliver (HBO)","Auto lenders can steer vulnerable people into crushing debt. Keegan-Michael Key and Bob Balaban help John Oliver show exactly how.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Auto Lending","Auto lenders can steer vulnerable people into crushing debt. Keegan-Michael Key and Bob Balaban help John Oliver show exactly how",2016-08-15
"34","7-LPcVo7gC0","Olympics Opening Ceremony: Last Week Tonight with John Oliver (HBO)","With the Olympic Games now underway, John Oliver recaps the opening ceremony.


Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Olympics Opening Ceremony","With the Olympic Games now underway, John Oliver recaps the opening ceremony",2016-08-08
"35","bq2_wSsDwkQ","Journalism: Last Week Tonight with John Oliver (HBO)","The newspaper industry is suffering. That’s bad news for journalists — both real and fictional.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Journalism","The newspaper industry is suffering. That’s bad news for journalists — both real and fictional",2016-08-08
"36","BUCnjlTfXDw","Democratic National Convention: Last Week Tonight with John Oliver (HBO)","John Oliver covers the Democratic convention and the unconventional state of our democracy.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Democratic National Convention","John Oliver covers the Democratic convention and the unconventional state of our democracy",2016-08-01
"37","32n4h0kn-88","Campaign Songs: Last Week Tonight with John Oliver (HBO)","John Oliver and some of America’s favorite recording artists remind politicians not to use their songs without permission on the campaign trail.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Campaign Songs","John Oliver and some of America’s favorite recording artists remind politicians not to use their songs without permission on the campaign trail",2016-07-25
"38","zNdkrtfZP8I","Republican National Convention: Last Week Tonight with John Oliver (HBO)","John Oliver discusses last week's unsurprisingly surprising Republican convention. 

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Republican National Convention","John Oliver discusses last week's unsurprisingly surprising Republican convention.",2016-07-25
"39","voxfqkrO5ww","Endorsements (Web Exclusive): Last Week Tonight with John Oliver (HBO)","Since we’re in the middle of an election year, John Oliver makes some official endorsements.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Endorsements (Web Exclusive)","Since we’re in the middle of an election year, John Oliver makes some official endorsements",2016-07-18
"40","cQtYlkwR8lM","Fan Mail Vol. 2 (Web Exclusive): Last Week Tonight with John Oliver (HBO)","John Oliver reads his fan mail, which comes from YouTube comments instead of letters because we live in the modern world.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Fan Mail Vol. 2 (Web Exclusive)","John Oliver reads his fan mail, which comes from YouTube comments instead of letters because we live in the modern world",2016-07-11
"41","nh0ac5HUpDU","Brexit Update: Last Week Tonight With John Oliver (HBO)","The United Kingdom voted to leave the European Union, and it looks like it may not be an especially smooth transition.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Brexit Update","The United Kingdom voted to leave the European Union, and it looks like it may not be an especially smooth transition",2016-06-28
"42","BgyqAD5Z6_A","Doping: Last Week Tonight with John Oliver (HBO)","Doping scandals have cast a shadow over the Olympic Games. Until we eliminate drugs from sports, we should at least update our athlete promos.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Doping","Doping scandals have cast a shadow over the Olympic Games. Until we eliminate drugs from sports, we should at least update our athlete promos",2016-06-27
